# ecldata4b.ecl
sha256: aa4c1d45accc12faa9fab021f3ba6a19f668e1edeaafcad04293483d4b18bcc6
header: subroutines=78 timelines=2 data_end=0x0000e540

## timeline 0 [0x0000c538, 0x0000dd80)
0x0000c538 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=15 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000250c t=     0 op=0x0086 size=20 b08=0x00 diff=0xff pmask=0x0000  set_timeout_phase_transition args=[0x00000960(s=2400,f=3.363116e-42), 0x00000029(s=41,f=5.745324e-44)]
0x00002520 t=     0 op=0x0085 size=24 b08=0x00 diff=0xff pmask=0x0000  set_health_phase_transition args=[0x00000000(s=0,f=0), 0x00000960(s=2400,f=3.363116e-42), 0x00000029(s=41,f=5.745324e-44)]
0x00002538 t=     0 op=0x009e size=28 b08=0x00 diff=0xff pmask=0x0004  set_boss_health_segment args=[0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00002768(s=10088,f=1.41363e-41), 0x00ff8080(s=16744576,f=2.346415e-38)]
0x00002554 t=     0 op=0x004b size=28 b08=0x00 diff=0xff pmask=0x0000  set_movement_bounds args=[0x42000000(s=1107296256,f=32), 0x42400000(s=1111490560,f=48), 0x43b00000(s=1135607808,f=352), 0x43200000(s=1126170624,f=160)]
0x00002570 t=     0 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000014(s=20,f=2.802597e-44)]
0x00002584 t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40490fdb(s=1078530011,f=3.141593)]
0x00002598 t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0xbbcde32e(s=-1144134866,f=-0.006283185)]
0x000025ac t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8800(s=1176274944,f=10018), 0x3f888889(s=1065912457,f=1.066667)]
0x000025c0 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002736(s=10038,f=1.406623e-41), 0x00000000(s=0,f=0)]
0x000025d4 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000046(s=70,f=9.809089e-44)]
0x000025e8 t=   120 op=0x003e size=12 b08=0x00 diff=0xff pmask=0x0000  restore_primary_animation args=[]
0x000025f4 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000002(s=2,f=2.802597e-45)]
0x00002608 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00000fa0(s=4000,f=5.605194e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x0000262c t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000004(s=4,f=5.605194e-45)]
0x00002640 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00001770(s=6000,f=8.407791e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x00002664 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000006(s=6,f=8.407791e-45)]
0x00002678 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00000fa0(s=4000,f=5.605194e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x0000269c t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x000026b0 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00001b58(s=7000,f=9.809089e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x000026d4 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x0000000d(s=13,f=1.821688e-44)]
0x000026e8 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00000fa0(s=4000,f=5.605194e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x0000270c t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x00000000(s=0,f=0)]
0x00002720 t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0x3be4c388(s=1004848008,f=0.006981317)]
0x00002734 t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8800(s=1176274944,f=10018), 0x3f088889(s=1057523849,f=0.5333334)]
0x00002748 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002736(s=10038,f=1.406623e-41), 0x00000001(s=1,f=1.401298e-45)]
0x0000275c t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x0000004a(s=74,f=1.036961e-43)]
0x00002770 t=   120 op=0x003e size=12 b08=0x00 diff=0xff pmask=0x0000  restore_primary_animation args=[]
0x0000277c t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000002(s=2,f=2.802597e-45)]
0x00002790 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00000fa0(s=4000,f=5.605194e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x000027b4 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000004(s=4,f=5.605194e-45)]
0x000027c8 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00001770(s=6000,f=8.407791e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x000027ec t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x00000006(s=6,f=8.407791e-45)]
0x00002800 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00000fa0(s=4000,f=5.605194e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x00002824 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x00002838 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00001b58(s=7000,f=9.809089e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x0000285c t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002711(s=10001,f=1.401439e-41), 0x0000000d(s=13,f=1.821688e-44)]
0x00002870 t=   120 op=0x005c size=36 b08=0x00 diff=0xff pmask=0x0000  spawn_child_enemy_relative args=[0x00000018(s=24,f=3.363116e-44), 0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00000fa0(s=4000,f=5.605194e-42), 0xfffffffe(s=-2,f=nan), 0x00000064(s=100,f=1.401298e-43)]
0x00002894 t=   240 op=0x0000 size=12 b08=0x00 diff=0xff pmask=0x0000  nop args=[]
0x000028a0 t=   540 op=0x0043 size=24 b08=0x00 diff=0xff pmask=0x0000  set_bounded_random_velocity args=[0x00000050(s=80,f=1.121039e-43), 0x00000004(s=4,f=5.605194e-45), 0x3f800000(s=1065353216,f=1)]
0x000028b8 t=   620 op=0x0004 size=20 b08=0x00 diff=0xff pmask=0x0000  jump args=[0x00000078(s=120,f=1.681558e-43), 0xffffffdc(s=-36,f=nan)]
0x000028cc sub-footer

## sub 23 [0x000028d8, 0x00002c00)
0x000028d8 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_int args=[0x00002735(s=10037,f=1.406483e-41), 0x0000000e(s=14,f=1.961818e-44)]
0x000028ec t=     0 op=0x0006 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_int args=[0x00002735(s=10037,f=1.406483e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x00002900 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_int args=[0x00002735(s=10037,f=1.406483e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x00002914 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_int args=[0x00002735(s=10037,f=1.406483e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x00002928 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_int args=[0x00002734(s=10036,f=1.406343e-41), 0x00000008(s=8,f=1.121039e-44)]
0x0000293c t=     0 op=0x0006 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_int args=[0x00002734(s=10036,f=1.406343e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x00002950 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_int args=[0x00002734(s=10036,f=1.406343e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x00002964 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_int args=[0x00002734(s=10036,f=1.406343e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x00002978 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_int args=[0x00002717(s=10007,f=1.402279e-41), 0x00000001(s=1,f=1.401298e-45)]
0x0000298c t=     0 op=0x0006 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_int args=[0x00002717(s=10007,f=1.402279e-41), 0x00000002(s=2,f=2.802597e-45)]
0x000029a0 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_int args=[0x00002717(s=10007,f=1.402279e-41), 0x00000003(s=3,f=4.203895e-45)]
0x000029b4 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_int args=[0x00002717(s=10007,f=1.402279e-41), 0x00000004(s=4,f=5.605194e-45)]
0x000029c8 t=     0 op=0x0007 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_float args=[0x461c9000(s=1176276992,f=10020), 0x3f8ccccd(s=1066192077,f=1.1)]
0x000029dc t=     0 op=0x0007 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_float args=[0x461c9000(s=1176276992,f=10020), 0x3f8ccccd(s=1066192077,f=1.1)]
0x000029f0 t=     0 op=0x0007 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_float args=[0x461c9000(s=1176276992,f=10020), 0x3f99999a(s=1067030938,f=1.2)]
0x00002a04 t=     0 op=0x0007 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_float args=[0x461c9000(s=1176276992,f=10020), 0x3fa66666(s=1067869798,f=1.3)]
0x00002a18 t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8c00(s=1176275968,f=10019), 0x40060a92(s=1074137746,f=2.094395)]
0x00002a2c t=     0 op=0x0063 size=44 b08=0x00 diff=0xff pmask=0x0056  fire mode=3 type=13 color=$i16(10001) count=($i32(10007),1) speed=($f(10020),0.9) angle=($f(10077),0.04908739) flags=0x00000202
0x00002a58 t=     0 op=0x0002 size=16 b08=0x00 diff=0xff pmask=0x0001  reset_timer args=[0x00002735(s=10037,f=1.406483e-41)]
0x00002a68 t=     0 op=0x0063 size=44 b08=0x00 diff=0xff pmask=0x0056  fire mode=3 type=12 color=$i16(10001) count=($i32(10007),1) speed=($f(10020),0.9) angle=($f(10077),0.04908739) flags=0x00000202
0x00002a94 t=     0 op=0x0002 size=16 b08=0x00 diff=0xff pmask=0x0001  reset_timer args=[0x00002735(s=10037,f=1.406483e-41)]
0x00002aa4 t=     0 op=0x0005 size=24 b08=0x00 diff=0xff pmask=0x0004  loop_decrement_jump args=[0x00000000(s=0,f=0), 0xffffff88(s=-120,f=nan), 0x00002734(s=10036,f=1.406343e-41)]
0x00002abc t=     0 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8c00(s=1176275968,f=10019), 0x00000000(s=0,f=0)]
0x00002ad0 t=     0 op=0x0019 size=24 b08=0x00 diff=0xff pmask=0x0007  set_float_add args=[0x461c8400(s=1176273920,f=10017), 0x461d7400(s=1176335360,f=10077), 0x461c8c00(s=1176275968,f=10019)]
0x00002ae8 t=     0 op=0x0010 size=20 b08=0x00 diff=0xff pmask=0x0001  sub_float args=[0x461c8c00(s=1176275968,f=10019), 0x3d00adfd(s=1023454717,f=0.03141593)]
0x00002afc t=     0 op=0x0025 size=16 b08=0x00 diff=0xff pmask=0x0001  normalize_angle args=[0x461c8400(s=1176273920,f=10017)]
0x00002b0c t=     0 op=0x0025 size=16 b08=0x00 diff=0xff pmask=0x0001  normalize_angle args=[0x461c8c00(s=1176275968,f=10019)]
0x00002b1c t=     0 op=0x0063 size=44 b08=0x00 diff=0xff pmask=0x0056  fire mode=3 type=13 color=$i16(10001) count=($i32(10007),1) speed=($f(10020),0.9) angle=($f(10017),0.04908739) flags=0x00000202
0x00002b48 t=     0 op=0x0002 size=16 b08=0x00 diff=0xff pmask=0x0001  reset_timer args=[0x00002735(s=10037,f=1.406483e-41)]
0x00002b58 t=     0 op=0x0019 size=24 b08=0x00 diff=0xff pmask=0x0007  set_float_add args=[0x461c8400(s=1176273920,f=10017), 0x461d7400(s=1176335360,f=10077), 0x461c8c00(s=1176275968,f=10019)]
0x00002b70 t=     0 op=0x0010 size=20 b08=0x00 diff=0xff pmask=0x0001  sub_float args=[0x461c8c00(s=1176275968,f=10019), 0x3d00adfd(s=1023454717,f=0.03141593)]
0x00002b84 t=     0 op=0x0025 size=16 b08=0x00 diff=0xff pmask=0x0001  normalize_angle args=[0x461c8400(s=1176273920,f=10017)]
0x00002b94 t=     0 op=0x0025 size=16 b08=0x00 diff=0xff pmask=0x0001  normalize_angle args=[0x461c8c00(s=1176275968,f=10019)]
0x00002ba4 t=     0 op=0x0063 size=44 b08=0x00 diff=0xff pmask=0x0056  fire mode=3 type=12 color=$i16(10001) count=($i32(10007),1) speed=($f(10020),0.9) angle=($f(10017),0.04908739) flags=0x00000202
0x00002bd0 t=     0 op=0x0002 size=16 b08=0x00 diff=0xff pmask=0x0001  reset_timer args=[0x00002735(s=10037,f=1.406483e-41)]
0x00002be0 t=     0 op=0x0004 size=20 b08=0x00 diff=0xff pmask=0x0000  jump args=[0x00000000(s=0,f=0), 0xfffffef0(s=-272,f=nan)]
0x00002bf4 sub-footer

## sub 24 [0x00002c00, 0x00002d24)
0x00002c00 t=     0 op=0x0036 size=16 b08=0x00 diff=0xff pmask=0x0001  set_primary_animation args=[0x00002710(s=10000,f=1.401298e-41)]
0x00002c10 t=     0 op=0x00ae size=16 b08=0x00 diff=0xff pmask=0x0000  replace_enemy_effect args=[0x00000001(s=1,f=1.401298e-45)]
0x00002c20 t=     0 op=0x004d size=20 b08=0x00 diff=0xff pmask=0x0000  set_hitbox args=[0x41c00000(s=1103101952,f=24), 0x41c00000(s=1103101952,f=24)]
0x00002c34 t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x000000c8(s=200,f=2.802597e-43)]
0x00002c44 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000010(s=16,f=2.242078e-44)]
0x00002c54 t=     0 op=0x0052 size=16 b08=0x00 diff=0xff pmask=0x0000  set_minimum_fire_distance args=[0x00000000(s=0,f=0)]
0x00002c64 t=     0 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002735(s=10037,f=1.406483e-41), 0x000000ff(s=255,f=3.573311e-43)]
0x00002c78 t=     0 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002717(s=10007,f=1.402279e-41), 0x00000000(s=0,f=0)]
0x00002c8c t=     0 op=0x0089 size=20 b08=0x00 diff=0xff pmask=0x0000  set_enemy_callback args=[0x00000008(s=8,f=1.121039e-44), 0x00000000(s=0,f=0)]
0x00002ca0 t=     0 op=0x0049 size=28 b08=0x00 diff=0xff pmask=0x000e  move_from_current args=[0x00000078(s=120,f=1.681558e-43), 0x461c8000(s=1176272896,f=10016), 0x461c8400(s=1176273920,f=10017), 0x461c8800(s=1176274944,f=10018)]
0x00002cbc t=     1 op=0x0051 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_flags_mask args=[0x00000002(s=2,f=2.802597e-45)]
0x00002ccc t=   120 op=0x004a size=24 b08=0x00 diff=0xff pmask=0x0002  set_motion_interpolation args=[0x00007530(s=30000,f=4.203895e-41), 0x461c8400(s=1176273920,f=10017), 0x00000000(s=0,f=0)]
0x00002ce4 t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0003  set_float args=[0x461c8000(s=1176272896,f=10016), 0x461d7400(s=1176335360,f=10077)]
0x00002cf8 t=   120 op=0x0087 size=20 b08=0x00 diff=0xff pmask=0x0000  start_interrupt_subroutine args=[0x00000000(s=0,f=0), 0x00000017(s=23,f=3.222986e-44)]
0x00002d0c t= 30120 op=0x0001 size=12 b08=0x00 diff=0xff pmask=0x0000  terminate args=[]
0x00002d18 sub-footer

## sub 25 [0x00002d24, 0x00002de0)
0x00002d24 t=     0 op=0x0051 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_flags_mask args=[0x00000004(s=4,f=5.605194e-45)]
0x00002d34 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000010(s=16,f=2.242078e-44)]
0x00002d44 t=     0 op=0x007b size=12 b08=0x00 diff=0xff pmask=0x0000  finish_spell_card args=[]
0x00002d50 t=     0 op=0x0093 size=16 b08=0x00 diff=0xff pmask=0x0000  write_unreferenced_global_4ea290 args=[0x00000001(s=1,f=1.401298e-45)]
0x00002d60 t=     0 op=0x007f size=16 b08=0x00 diff=0xff pmask=0x0000  set_boss_slot args=[0xffffffff(s=-1,f=nan)]
0x00002d70 t=     0 op=0x0040 size=28 b08=0x00 diff=0xff pmask=0x0000  move_to args=[0x0000003c(s=60,f=8.407791e-44), 0x00000001(s=1,f=1.401298e-45), 0x43800000(s=1132462080,f=256), 0xc2000000(s=-1040187392,f=-32)]
0x00002d8c t=     0 op=0x008e size=16 b08=0x00 diff=0xff pmask=0x0000  spawn_item_bundle args=[0x0000000a(s=10,f=1.401298e-44)]
0x00002d9c t=     0 op=0x00a8 size=16 b08=0x00 diff=0xff pmask=0x0000  spawn_point_items args=[0x00000007(s=7,f=9.809089e-45)]
0x00002dac t=     0 op=0x004c size=12 b08=0x00 diff=0xff pmask=0x0000  clear_movement_bounds args=[]
0x00002db8 t=    60 op=0x007f size=16 b08=0x00 diff=0xff pmask=0x0000  set_boss_slot args=[0xffffffff(s=-1,f=nan)]
0x00002dc8 t=    60 op=0x0001 size=12 b08=0x00 diff=0xff pmask=0x0000  terminate args=[]
0x00002dd4 sub-footer

## sub 26 [0x00002de0, 0x00002e6c)
0x00002de0 t=     0 op=0x0051 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_flags_mask args=[0x00000004(s=4,f=5.605194e-45)]
0x00002df0 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000010(s=16,f=2.242078e-44)]
0x00002e00 t=     0 op=0x007b size=12 b08=0x00 diff=0xff pmask=0x0000  finish_spell_card args=[]
0x00002e0c t=     0 op=0x0093 size=16 b08=0x00 diff=0xff pmask=0x0000  write_unreferenced_global_4ea290 args=[0x00000001(s=1,f=1.401298e-45)]
0x00002e1c t=     0 op=0x0040 size=28 b08=0x00 diff=0xff pmask=0x0000  move_to args=[0x0000003c(s=60,f=8.407791e-44), 0x00000001(s=1,f=1.401298e-45), 0x43800000(s=1132462080,f=256), 0xc2000000(s=-1040187392,f=-32)]
0x00002e38 t=     0 op=0x004c size=12 b08=0x00 diff=0xff pmask=0x0000  clear_movement_bounds args=[]
0x00002e44 t=    60 op=0x007f size=16 b08=0x00 diff=0xff pmask=0x0000  set_boss_slot args=[0xffffffff(s=-1,f=nan)]
0x00002e54 t=    60 op=0x0001 size=12 b08=0x00 diff=0xff pmask=0x0000  terminate args=[]
0x00002e60 sub-footer

## sub 27 [0x00002e6c, 0x00002f30)
0x00002e6c t=     0 op=0x003b size=16 b08=0x00 diff=0xff pmask=0x0000  set_primary_animation_sequence_mode args=[0x00000000(s=0,f=0)]
0x00002e7c t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000014(s=20,f=2.802597e-44)]
0x00002e8c t=     0 op=0x007f size=16 b08=0x00 diff=0xff pmask=0x0000  set_boss_slot args=[0x00000000(s=0,f=0)]
0x00002e9c t=     0 op=0x004d size=20 b08=0x00 diff=0xff pmask=0x0000  set_hitbox args=[0x42400000(s=1111490560,f=48), 0x42000000(s=1107296256,f=32)]
0x00002eb0 t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x0000003c(s=60,f=8.407791e-44)]
0x00002ec0 t=     0 op=0x0094 size=16 b08=0x00 diff=0xff pmask=0x0000  start_spell_phase args=[0x00000000(s=0,f=0)]
0x00002ed0 t=     0 op=0x0086 size=20 b08=0x00 diff=0xff pmask=0x0000  set_timeout_phase_transition args=[0x0002bf20(s=180000,f=2.522337e-40), 0x00000024(s=36,f=5.044674e-44)]
0x00002ee4 t=     0 op=0x003f size=20 b08=0x00 diff=0xff pmask=0x0000  set_position args=[0xc2000000(s=-1040187392,f=-32), 0xc2000000(s=-1040187392,f=-32)]
0x00002ef8 t=     0 op=0x0040 size=28 b08=0x00 diff=0xff pmask=0x0000  move_to args=[0x0000003c(s=60,f=8.407791e-44), 0x00000004(s=4,f=5.605194e-45), 0x43400000(s=1128267776,f=192), 0x43000000(s=1124073472,f=128)]
0x00002f14 t=    60 op=0x0034 size=16 b08=0x00 diff=0xff pmask=0x0000  call_subroutine args=[0x0000001c(s=28,f=3.923636e-44)]
0x00002f24 sub-footer

## sub 28 [0x00002f30, 0x00003478)
0x00002f30 t=     0 op=0x0051 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_flags_mask args=[0x00000004(s=4,f=5.605194e-45)]
0x00002f40 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000010(s=16,f=2.242078e-44)]
0x00002f50 t=     0 op=0x007b size=12 b08=0x00 diff=0xff pmask=0x0000  finish_spell_card args=[]
0x00002f5c t=     0 op=0x0088 size=20 b08=0x00 diff=0xff pmask=0x0000  invoke_enemy_callback args=[0x00000005(s=5,f=7.006492e-45), 0x00000000(s=0,f=0)]
0x00002f70 t=     0 op=0x0089 size=20 b08=0x00 diff=0xff pmask=0x0000  set_enemy_callback args=[0xffffffff(s=-1,f=nan), 0x00000000(s=0,f=0)]
0x00002f84 t=     0 op=0x0090 size=20 b08=0x00 diff=0xff pmask=0x0000  set_drop_counts args=[0x0000000a(s=10,f=1.401298e-44), 0x00000005(s=5,f=7.006492e-45)]
0x00002f98 t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x000000f0(s=240,f=3.363116e-43)]
0x00002fa8 t=     0 op=0x0083 size=16 b08=0x00 diff=0xff pmask=0x0000  set_health args=[0x00004650(s=18000,f=2.522337e-41)]
0x00002fb8 t=     0 op=0x0094 size=16 b08=0x00 diff=0xff pmask=0x0000  start_spell_phase args=[0x00000002(s=2,f=2.802597e-45)]
0x00002fc8 t=     0 op=0x0081 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_defeat_mode args=[0x00000002(s=2,f=2.802597e-45)]
0x00002fd8 t=     0 op=0x0082 size=16 b08=0x00 diff=0xff pmask=0x0000  set_enemy_end_subroutine args=[0x00000035(s=53,f=7.426882e-44)]
0x00002fe8 t=     0 op=0x0086 size=20 b08=0x00 diff=0xff pmask=0x0000  set_timeout_phase_transition args=[0x00000960(s=2400,f=3.363116e-42), 0x00000035(s=53,f=7.426882e-44)]
0x00002ffc t=     0 op=0x0085 size=24 b08=0x00 diff=0xff pmask=0x0000  set_health_phase_transition args=[0x00000000(s=0,f=0), 0x000009c4(s=2500,f=3.503246e-42), 0x00000035(s=53,f=7.426882e-44)]
0x00003014 t=     0 op=0x009e size=28 b08=0x00 diff=0xff pmask=0x0004  set_boss_health_segment args=[0x00000000(s=0,f=0), 0x00000000(s=0,f=0), 0x00002768(s=10088,f=1.41363e-41), 0x00ff8080(s=16744576,f=2.346415e-38)]
0x00003030 t=     0 op=0x004b size=28 b08=0x00 diff=0xff pmask=0x0000  set_movement_bounds args=[0x42000000(s=1107296256,f=32), 0x42400000(s=1111490560,f=48), 0x43b00000(s=1135607808,f=352), 0x43200000(s=1126170624,f=160)]
0x0000304c t=     0 op=0x009d size=28 b08=0x00 diff=0xff pmask=0x0000  configure_enemy_trail args=[0x00000005(s=5,f=7.006492e-45), 0x0000000f(s=15,f=2.101948e-44), 0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x00003068 t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40490fdb(s=1078530011,f=3.141593)]
0x0000307c t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8400(s=1176273920,f=10017), 0xbd80adfd(s=-1115640323,f=-0.06283186)]
0x00003090 t=   120 op=0x0007 size=20 b08=0x00 diff=0xff pmask=0x0001  set_float args=[0x461c8800(s=1176274944,f=10018), 0x3f4ccccd(s=1061997773,f=0.8)]
0x000030a4 t=   120 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002736(s=10038,f=1.406623e-41), 0x00000000(s=0,f=0)]
